l1x, l1y, l1z, l2x, l2y, l2z, l3x, l3y, l3z, l4x, l4y, l4z, l5x, l5y, l5z, l6x, l6y, l6z 
268.006, 3.4546, -230.255, 136.271, 231.626, -270.001, -136.994, 237.281, -230.254, -268.729, -2.20155, -270.001, -136.995, -230.372, -230.255, 136.271, -236.028, -269.999, 
266.851, 5.45343, -230.634, 137.01, 230.346, -270.001, -138.148, 239.28, -230.634, -267.99, -3.48105, -270.001, -138.148, -228.373, -230.634, 137.01, -237.308, -269.999, 
265.765, 7.33554, -231.147, 137.709, 229.134, -270.001, -139.235, 241.162, -231.147, -267.291, -4.69258, -270.001, -139.235, -226.491, -231.147, 137.709, -238.519, -269.999, 
264.847, 8.92429, -231.698, 138.304, 228.105, -270.001, -140.152, 242.751, -231.698, -266.696, -5.72238, -270.001, -140.152, -224.902, -231.698, 138.304, -239.549, -269.999, 
263.948, 10.4829, -232.344, 138.892, 227.086, -270.001, -141.052, 244.31, -232.344, -266.108, -6.74068, -270.001, -141.052, -223.344, -232.344, 138.892, -240.567, -269.999, 
263.064, 12.0135, -233.078, 139.474, 226.077, -270.001, -141.936, 245.84, -233.078, -265.526, -7.74977, -270.001, -141.936, -221.813, -233.078, 139.474, -241.576, -269.999, 
261.934, 13.9707, -234.163, 140.229, 224.771, -270.001, -143.066, 247.797, -234.163, -264.772, -9.05599, -270.001, -143.066, -219.856, -234.163, 140.228, -242.883, -269.999, 
261.099, 15.416, -235.069, 140.793, 223.793, -270.001, -143.9, 249.243, -235.069, -264.207, -10.0343, -270.001, -143.9, -218.411, -235.069, 140.793, -243.861, -269.999, 
260.3, 16.7999, -236.02, 141.341, 222.844, -270.001, -144.699, 250.626, -236.02, -263.659, -10.9834, -270.001, -144.699, -217.027, -236.02, 141.341, -244.81, -269.999, 
259.364, 18.4223, -237.24, 141.994, 221.713, -270.001, -145.636, 252.249, -237.24, -263.006, -12.1142, -270.001, -145.636, -215.404, -237.239, 141.994, -245.941, -269.999, 
258.277, 20.3041, -238.794, 142.768, 220.373, -270.001, -146.723, 254.131, -238.794, -262.233, -13.4539, -270.001, -146.722, -213.523, -238.794, 142.767, -247.281, -269.999, 
257.02, 22.4824, -240.783, 143.689, 218.778, -270.001, -147.98, 256.309, -240.783, -261.311, -15.0493, -270.001, -147.98, -211.344, -240.783, 143.689, -248.876, -269.999, 
256.138, 24.0096, -242.297, 144.354, 217.625, -270.001, -148.862, 257.836, -242.297, -260.646, -16.2018, -270.001, -148.862, -209.817, -242.297, 144.354, -250.028, -269.999, 
255.443, 25.2135, -243.561, 144.892, 216.694, -270.001, -149.557, 259.04, -243.561, -260.108, -17.1335, -270.001, -149.557, -208.613, -243.561, 144.892, -250.96, -269.999, 
254.67, 26.5528, -245.04, 145.506, 215.63, -270.001, -150.33, 260.379, -245.041, -259.494, -18.1971, -270.001, -150.33, -207.274, -245.04, 145.506, -252.024, -269.999, 
253.86, 27.9548, -246.671, 146.17, 214.481, -270.001, -151.14, 261.781, -246.671, -258.831, -19.346, -270.001, -151.14, -205.872, -246.671, 146.169, -253.173, -269.999, 
253.065, 29.3324, -248.354, 146.845, 213.311, -270.001, -151.935, 263.159, -248.354, -258.155, -20.5157, -270.001, -151.935, -204.494, -248.354, 146.845, -254.342, -269.999, 
252.067, 31.0609, -250.581, 147.732, 211.775, -270.001, -152.933, 264.887, -250.581, -257.269, -22.0517, -270.001, -152.933, -202.766, -250.581, 147.731, -255.878, -269.999, 
